,Latitude,Longitude
289,61.26,-124.47
290,45.13,-72.23
291,50.98,-101.33
292,51.26,-103.75
293,46.43,-63.42
294,47.08,-70.90
295,68.78,-103.35
296,54.45,-125.46
297,46.38,-81.57
298,56.38,-111.27
299,45.32,-75.67
300,51.65,-115.36
301,50.02,-125.23
302,61.30,-64.88
303,46.82,-71.10
304,42.90,-81.70
305,50.30,-95.55
306,50.35,-102.27
307,51.77,-115.32
308,58.72,-111.15
309,47.82,-79.90
310,43.03,-82.18
311,43.25,-81.18
312,55.18,-118.88
313,52.26,-121.72
314,45.50,-62.72
315,44.40,-76.00
316,48.55,-123.42
317,51.33,-110.48
318,50.58,-113.90
319,47.17,-55.30
320,45.02,-64.63
321,48.67,-86.28
322,50.17,-120.63
323,47.97,-55.85
324,43.42,-79.68
325,49.07,-118.93
326,49.10,-122.00
327,58.50,-87.17
328,51.18,-112.58
329,58.48,-119.40
330,48.37,-89.33
331,54.03,-132.13
332,45.23,-63.05
333,53.87,-116.67
334,50.65,-114.65
335,53.43,-113.12
336,50.38,-104.58
337,49.27,-85.83
338,48.76,-92.62
339,43.75,-79.58
340,49.13,-122.62
341,55.93,-119.13
342,43.91,-79.32
343,54.77,-112.02
344,53.83,-79.00
345,49.19,-122.86
346,43.20,-79.25
347,50.87,-102.47
348,44.48,-79.55
349,49.17,-57.12
350,45.48,-71.95
351,47.10,-65.73
352,51.10,-100.06
353,47.02,-60.45
354,51.77,-104.20
355,48.13,-66.70
356,44.15,-77.70
357,52.52,-112.25
358,46.15,-67.54
359,43.72,-79.22
360,52.50,-107.08
361,54.73,-115.48
362,49.36,-113.11
363,52.00,-112.80
364,53.68,-57.04
365,67.82,-115.14
366,50.18,-100.60
367,49.28,-122.95
368,49.73,-105.97
369,45.90,-75.60
370,51.17,-104.40
371,44.27,-79.17
372,45.36,-79.14
373,43.95,-79.40
374,50.98,-97.47
375,45.90,-75.08
376,49.37,-108.77
377,49.87,-97.08
378,51.67,-124.41
379,49.35,-125.15
380,48.98,-85.82
381,56.53,-117.93
382,46.20,-71.75
383,53.28,-110.68
384,64.04,-139.13
385,53.44,-114.72
386,46.35,-73.35
387,50.37,-104.20
388,49.08,-116.10
389,50.50,-113.05
390,44.73,-63.67
391,55.95,-129.98
392,49.82,-74.42
393,50.57,-96.22
394,72.69,-77.97
395,46.15,-78.10
396,44.08,-64.77
397,43.22,-79.75
398,46.20,-71.12
399,51.66,-112.68
400,53.82,-84.92
401,49.77,-114.27
402,50.67,-120.37
403,49.00,-106.38
404,49.37,-123.38
405,43.14,-80.33
406,52.85,-114.52
407,50.45,-105.87
408,42.88,-79.25
409,45.43,-66.82
410,51.00,-105.52
411,58.74,-94.07
412,45.17,-74.53
413,63.34,-64.15
414,45.02,-75.20
415,43.83,-66.09
416,49.87,-118.07
417,49.41,-82.47
418,47.92,-69.10
419,55.17,-114.03
420,53.53,-109.08
421,46.67,-72.87
422,47.55,-74.18
423,49.17,-121.97
424,49.87,-111.73
425,51.78,-111.08
426,46.65,-60.95
427,49.28,-123.12
428,49.55,-114.50
429,48.75,-80.67
430,48.28,-89.92
431,52.17,-116.68
432,50.68,-119.82
433,45.45,-73.67
434,49.18,-101.27
435,55.72,-117.62
436,49.23,-122.93
437,45.57,-72.92
438,54.03,-114.75
439,43.78,-79.47
440,52.38,-113.17
441,49.27,-122.98
442,44.92,-62.48
443,45.67,-82.23
444,42.40,-82.20
445,48.65,-89.07
446,51.45,-90.21
447,46.90,-71.50
448,50.92,-116.40
449,44.60,-63.60
450,45.02,-63.45
451,59.93,-130.33
452,54.40,-109.75
453,44.27,-79.90
454,54.68,-101.68
455,45.60,-70.87
456,59.21,-117.06
457,49.08,-100.78
458,55.90,-115.65
459,50.53,-113.07
460,43.68,-79.72
461,50.24,-118.96
462,49.08,-123.07
463,45.33,-71.50
464,49.25,-122.23
465,61.02,-138.40
466,45.32,-63.50
467,59.43,-114.90
468,53.32,-108.68
469,54.68,-101.97
470,48.63,-93.97
471,49.80,-103.25
472,49.12,-105.52
473,49.73,-124.18
474,68.82,-93.43
475,73.01,-85.05
476,49.21,-102.97
477,52.82,-102.32
478,54.32,-112.95
479,70.48,-68.52
480,49.23,-123.15
481,54.80,-66.80
482,43.10,-80.68
483,57.79,-117.68
484,51.33,-120.84
485,55.20,-119.40
486,43.28,-80.38
487,49.63,-124.03
488,53.08,-112.27
489,51.38,-56.10
490,52.90,-109.18
491,44.50,-64.08
492,47.09,-55.20
493,51.93,-105.77
494,45.18,-66.17
495,43.58,-80.88
496,49.37,-121.50
497,44.37,-78.30
498,48.17,-65.80
499,49.72,-114.28
500,58.77,-111.12
501,52.37,-107.02
502,53.32,-114.92
503,50.40,-121.68
504,52.78,-115.33
505,53.27,-120.15
506,45.34,-80.04
507,45.30,-71.60
508,55.77,-120.10
509,44.40,-64.55
510,61.92,-108.43
511,49.44,-123.43
512,44.90,-76.00
513,52.15,-106.55
514,55.27,-127.62
515,42.67,-81.53
516,51.67,-115.80
517,44.60,-75.67
518,52.52,-104.35
519,54.13,-122.65
520,54.20,-126.28
521,43.17,-79.60
522,50.90,-102.28
523,60.82,-78.15
524,49.45,-99.02
525,42.97,-79.33
526,45.47,-73.50
527,53.48,-107.03
528,44.07,-64.67
529,49.60,-100.07
